N,language,elapsed_s,ops,energy_J,co2_g
10000,EcoLang,0.004302700,75,0.000339702,0.000000045
10000,Python,0.096388100,30000,0.048224050,0.000006363
10000,Node,0.096974800,30000,0.048517400,0.000006402
100000,EcoLang,0.000265700,75,0.000000575,0.000000000
100000,Python,0.076967700,300000,0.038783850,0.000005117
100000,Node,0.094301700,300000,0.047450850,0.000006261
500000,EcoLang,0.000296500,75,0.000000575,0.000000000
500000,Python,0.104445900,1500000,0.053722950,0.000007088
500000,Node,0.092068100,1500000,0.047534050,0.000006272
# Greener (median energy across N): EcoLang
